order_id,order_date,customer_id,product,quantity,unit_price,city,state
A1035,2/19/2025,C1070,Oats,3,3,Plano,TX
A1036,2/15/2025,C1304,Almonds,4,5.75,Corpus Christi,TX
A1037,4/1/2025,C377,Broccoli,4,1.8,Fort Worth,TX
A1038,3/17/2025,C603,Chia Seeds,1,8.5,Corpus Christi,TX
A1039,3/5/2025,C086,Protein Bar,7,2.5,Houston,TX
A1040,2/7/2025,C1282,Chana Dal,3,4.4,Arlington,TX
A1041,1/18/2025,C647,Chana Dal,10,4.4,Arlington,TX
A1042,3/6/2025,C889,Chia Seeds,4,8.5,Houston,TX
A1043,1/20/2025,C942,Protein Bar,2,2.5,Frisco,TX
A1044,2/10/2025,C398,Broccoli,9,1.8,San Antonio,TX
A1045,2/7/2025,C925,Broccoli,1,1.8,Houston,TX
A1046,1/13/2025,C602,Quinoa,9,6.25,Arlington,TX
A1047,2/1/2025,C1157,Chana Dal,6,4.4,El Paso,TX
A1048,1/23/2025,C1091,Green Tea,8,4,Fort Worth,TX
A1049,2/26/2025,C1222,Green Tea,1,4,Austin,TX
A1050,3/27/2025,C396,Chia Seeds,4,8.5,Austin,TX
A1051,1/17/2025,C383,Quinoa,3,6.25,Frisco,TX
A1052,1/30/2025,C651,Oats,10,3,Fort Worth,TX
A1053,2/11/2025,C069,Almonds,8,5.75,Plano,TX
A1054,3/16/2025,C240,Chana Dal,4,4.4,El Paso,TX
A1055,3/21/2025,C1224,Broccoli,5,1.8,San Antonio,TX
A1056,3/24/2025,C065,Green Tea,7,4,Plano,TX
A1057,1/14/2025,C824,Broccoli,10,1.8,Plano,TX
A1058,3/25/2025,C108,Quinoa,6,6.25,El Paso,TX
A1059,2/28/2025,C628,Green Tea,8,4,Corpus Christi,TX
A1060,3/28/2025,C869,Chia Seeds,10,8.5,Frisco,TX
A1061,1/29/2025,C1313,Green Tea,8,4,San Antonio,TX
A1062,1/6/2025,C1048,Soya Chunks,3,2.9,San Antonio,TX
A1063,1/25/2025,C769,Chana Dal,4,4.4,Frisco,TX
A1064,1/11/2025,C485,Protein Bar,7,2.5,Corpus Christi,TX
A1065,2/25/2025,C223,Protein Bar,9,2.5,El Paso,TX
A1066,3/15/2025,C968,Almonds,8,5.75,Dallas,TX
A1067,1/7/2025,C324,Protein Bar,9,2.5,Dallas,TX
A1068,1/26/2025,C652,Quinoa,9,6.25,Fort Worth,TX
A1069,2/9/2025,C561,Soya Chunks,2,2.9,Fort Worth,TX
A1070,3/5/2025,C800,Soya Chunks,2,2.9,San Antonio,TX
A1071,3/6/2025,C153,Green Tea,5,4,Frisco,TX
A1072,2/9/2025,C422,Cashews,1,7,San Antonio,TX
A1073,2/25/2025,C1035,Protein Bar,7,2.5,San Antonio,TX
A1074,3/19/2025,C597,Soya Chunks,4,2.9,Fort Worth,TX
A1075,3/10/2025,C835,Cashews,1,7,Corpus Christi,TX
A1076,1/29/2025,C839,Cashews,8,7,San Antonio,TX
A1077,1/15/2025,C1117,Protein Bar,8,2.5,Dallas,TX
A1078,2/13/2025,C1162,Green Tea,8,4,El Paso,TX
A1079,2/3/2025,C601,Broccoli,8,1.8,Frisco,TX
A1080,2/10/2025,C537,Soya Chunks,3,2.9,Frisco,TX
A1081,2/11/2025,C1079,Almonds,8,5.75,Plano,TX
A1082,3/27/2025,C926,Protein Bar,9,2.5,Corpus Christi,TX
A1083,2/23/2025,C900,Chia Seeds,5,8.5,Frisco,TX
A1084,1/12/2025,C545,Green Tea,2,4,El Paso,TX
A1085,1/20/2025,C389,Protein Bar,4,2.5,El Paso,TX
A1086,2/4/2025,C177,Almonds,4,5.75,Dallas,TX
A1087,3/27/2025,C779,Green Tea,10,4,Frisco,TX
A1088,3/14/2025,C1450,Cashews,1,7,Houston,TX
A1089,2/18/2025,C1242,Protein Bar,10,2.5,Corpus Christi,TX
A1090,2/17/2025,C021,Almonds,8,5.75,Austin,TX
A1091,1/1/2025,C711,Green Tea,7,4,Frisco,TX
A1092,2/25/2025,C880,Broccoli,10,1.8,Houston,TX
A1093,2/6/2025,C765,Chana Dal,1,4.4,Arlington,TX
A1094,1/3/2025,C1153,Cashews,9,7,Austin,TX
A1095,3/3/2025,C1294,Chana Dal,7,4.4,Dallas,TX
A1096,3/27/2025,C1266,Broccoli,10,1.8,Corpus Christi,TX
A1097,1/2/2025,C826,Green Tea,2,4,Dallas,TX
A1098,1/2/2025,C311,Soya Chunks,5,2.9,Corpus Christi,TX
A1099,2/17/2025,C840,Protein Bar,1,2.5,San Antonio,TX
A1100,3/23/2025,C292,Broccoli,9,1.8,Plano,TX
A1101,3/5/2025,C1453,Broccoli,4,1.8,Plano,TX
A1102,1/22/2025,C829,Oats,6,3,Arlington,TX
A1103,2/13/2025,C637,Chia Seeds,3,8.5,San Antonio,TX
A1104,1/18/2025,C829,Green Tea,10,4,Plano,TX
A1105,3/18/2025,C1017,Soya Chunks,2,2.9,Plano,TX
A1106,3/6/2025,C329,Cashews,9,7,El Paso,TX
A1107,3/4/2025,C376,Soya Chunks,4,2.9,Houston,TX
A1108,1/28/2025,C1131,Chana Dal,8,4.4,Houston,TX
A1109,3/15/2025,C1345,Cashews,5,7,Houston,TX
A1110,1/11/2025,C186,Protein Bar,1,2.5,Plano,TX
A1111,3/31/2025,C820,Chia Seeds,6,8.5,Frisco,TX
A1112,3/30/2025,C989,Quinoa,10,6.25,Plano,TX
A1113,3/6/2025,C677,Broccoli,1,1.8,Fort Worth,TX
A1114,2/4/2025,C1125,Quinoa,9,6.25,Austin,TX
A1115,2/18/2025,C938,Cashews,3,7,Dallas,TX
A1116,1/11/2025,C1106,Chia Seeds,5,8.5,Corpus Christi,TX
A1117,1/29/2025,C994,Protein Bar,2,2.5,Dallas,TX
A1118,3/27/2025,C204,Almonds,2,5.75,Corpus Christi,TX
A1119,3/30/2025,C1268,Quinoa,6,6.25,Plano,TX
A1120,3/18/2025,C339,Quinoa,2,6.25,Corpus Christi,TX
A1121,3/18/2025,C1191,Chana Dal,3,4.4,Houston,TX
A1122,1/28/2025,C1313,Chana Dal,4,4.4,Corpus Christi,TX
A1123,3/8/2025,C095,Cashews,7,7,Houston,TX
A1124,1/23/2025,C433,Quinoa,8,6.25,Houston,TX
A1125,1/4/2025,C184,Chia Seeds,10,8.5,Dallas,TX
A1126,1/8/2025,C439,Green Tea,4,4,Plano,TX
A1127,2/19/2025,C023,Chana Dal,8,4.4,El Paso,TX
A1128,3/26/2025,C813,Broccoli,9,1.8,Fort Worth,TX
A1129,3/23/2025,C533,Chana Dal,6,4.4,San Antonio,TX
A1130,3/2/2025,C961,Almonds,10,5.75,Dallas,TX
A1131,1/8/2025,C723,Quinoa,5,6.25,Houston,TX
A1132,3/14/2025,C369,Quinoa,6,6.25,Fort Worth,TX
A1133,1/22/2025,C841,Green Tea,8,4,Arlington,TX
A1134,2/18/2025,C139,Green Tea,8,4,Plano,TX
A1135,2/25/2025,C699,Quinoa,2,6.25,Corpus Christi,TX
A1136,1/29/2025,C428,Green Tea,9,4,Houston,TX
A1137,3/2/2025,C129,Protein Bar,8,2.5,San Antonio,TX
A1138,1/20/2025,C481,Soya Chunks,5,2.9,Fort Worth,TX
A1139,3/24/2025,C1285,Oats,7,3,Dallas,TX
A1140,3/19/2025,C211,Quinoa,7,6.25,Houston,TX
A1141,2/17/2025,C366,Chia Seeds,5,8.5,Dallas,TX
A1142,2/4/2025,C722,Cashews,5,7,Dallas,TX
A1143,1/9/2025,C429,Protein Bar,9,2.5,Dallas,TX
A1144,2/6/2025,C702,Broccoli,3,1.8,Plano,TX
A1145,1/19/2025,C200,Quinoa,10,6.25,Austin,TX
A1146,1/7/2025,C1181,Oats,6,3,Austin,TX
A1147,2/6/2025,C653,Chana Dal,10,4.4,Arlington,TX
A1148,2/4/2025,C012,Almonds,10,5.75,San Antonio,TX
A1149,1/10/2025,C642,Almonds,9,5.75,Arlington,TX
A1150,1/31/2025,C850,Almonds,1,5.75,Plano,TX
A1151,2/14/2025,C1294,Cashews,3,7,Corpus Christi,TX
A1152,3/31/2025,C1100,Green Tea,2,4,Plano,TX
A1153,2/12/2025,C782,Almonds,10,5.75,Fort Worth,TX
A1154,3/3/2025,C207,Soya Chunks,1,2.9,Corpus Christi,TX
A1155,1/9/2025,C748,Green Tea,4,4,Houston,TX
A1156,2/1/2025,C395,Green Tea,2,4,Austin,TX
A1157,3/29/2025,C049,Soya Chunks,6,2.9,San Antonio,TX
A1158,1/4/2025,C1372,Protein Bar,4,2.5,Plano,TX
A1159,1/14/2025,C597,Almonds,6,5.75,Houston,TX
A1160,2/5/2025,C1011,Soya Chunks,6,2.9,Frisco,TX
A1161,1/14/2025,C1318,Chana Dal,1,4.4,Fort Worth,TX
A1162,1/25/2025,C791,Oats,2,3,Houston,TX
A1163,1/8/2025,C055,Green Tea,2,4,Frisco,TX
A1164,2/5/2025,C1070,Almonds,1,5.75,Austin,TX
A1165,1/27/2025,C1046,Broccoli,7,1.8,Dallas,TX
A1166,1/20/2025,C1163,Almonds,3,5.75,Frisco,TX
A1167,3/8/2025,C887,Chia Seeds,9,8.5,Fort Worth,TX
A1168,2/17/2025,C1425,Chia Seeds,7,8.5,Dallas,TX
A1169,1/15/2025,C893,Cashews,5,7,San Antonio,TX
A1170,1/4/2025,C1254,Almonds,3,5.75,Frisco,TX
A1171,2/8/2025,C028,Cashews,6,7,Fort Worth,TX
A1172,1/4/2025,C477,Quinoa,7,6.25,Fort Worth,TX
A1173,2/8/2025,C853,Broccoli,9,1.8,Plano,TX
A1174,3/16/2025,C545,Cashews,5,7,Houston,TX
A1175,3/24/2025,C1245,Cashews,8,7,Fort Worth,TX
A1176,3/17/2025,C761,Oats,6,3,Plano,TX
A1177,2/11/2025,C240,Chia Seeds,5,8.5,Plano,TX
A1178,2/17/2025,C875,Oats,2,3,Corpus Christi,TX
A1179,1/23/2025,C591,Oats,1,3,Corpus Christi,TX
A1180,3/14/2025,C231,Oats,1,3,Dallas,TX
A1181,1/26/2025,C1242,Soya Chunks,2,2.9,Houston,TX
A1182,1/20/2025,C225,Cashews,9,7,Arlington,TX
A1183,3/29/2025,C002,Broccoli,9,1.8,Dallas,TX
A1184,3/17/2025,C855,Cashews,8,7,Plano,TX
A1185,3/4/2025,C782,Cashews,7,7,Corpus Christi,TX
A1186,3/12/2025,C1304,Protein Bar,4,2.5,Arlington,TX
A1187,3/30/2025,C1135,Soya Chunks,4,2.9,Austin,TX
A1188,3/13/2025,C947,Green Tea,4,4,Arlington,TX
A1189,2/21/2025,C843,Chia Seeds,5,8.5,Houston,TX
A1190,2/23/2025,C964,Soya Chunks,10,2.9,Dallas,TX
A1191,2/16/2025,C875,Cashews,2,7,Austin,TX
A1192,3/17/2025,C661,Chia Seeds,8,8.5,Austin,TX
A1193,2/21/2025,C166,Quinoa,10,6.25,Corpus Christi,TX
A1194,2/15/2025,C573,Green Tea,7,4,Plano,TX
A1195,3/9/2025,C500,Quinoa,5,6.25,Fort Worth,TX
A1196,2/19/2025,C275,Almonds,6,5.75,Arlington,TX
A1197,2/7/2025,C561,Green Tea,9,4,Frisco,TX
A1198,1/19/2025,C651,Almonds,4,5.75,Houston,TX
A1199,3/22/2025,C1428,Chana Dal,4,4.4,El Paso,TX
A1200,2/19/2025,C727,Protein Bar,8,2.5,San Antonio,TX
A1201,3/11/2025,C1341,Cashews,10,7,Austin,TX
A1202,1/18/2025,C711,Chana Dal,8,4.4,Arlington,TX
A1203,1/26/2025,C512,Green Tea,4,4,Austin,TX
A1204,2/15/2025,C041,Chana Dal,8,4.4,El Paso,TX
A1205,2/15/2025,C1165,Chia Seeds,7,8.5,San Antonio,TX
A1206,3/14/2025,C238,Chana Dal,3,4.4,Corpus Christi,TX
A1207,2/23/2025,C821,Quinoa,9,6.25,Frisco,TX
A1208,3/26/2025,C419,Protein Bar,6,2.5,Fort Worth,TX
A1209,3/25/2025,C1488,Cashews,5,7,San Antonio,TX
A1210,1/8/2025,C850,Broccoli,9,1.8,San Antonio,TX
A1211,3/28/2025,C1213,Protein Bar,2,2.5,San Antonio,TX
A1212,1/15/2025,C565,Soya Chunks,9,2.9,Frisco,TX
A1213,2/1/2025,C892,Broccoli,1,1.8,Dallas,TX
A1214,3/28/2025,C972,Almonds,7,5.75,San Antonio,TX
A1215,3/25/2025,C345,Broccoli,10,1.8,Dallas,TX
A1216,1/30/2025,C762,Soya Chunks,4,2.9,Fort Worth,TX
A1217,1/30/2025,C1108,Chana Dal,1,4.4,Arlington,TX
A1218,1/29/2025,C645,Chana Dal,8,4.4,Corpus Christi,TX
A1219,3/14/2025,C1346,Cashews,8,7,Fort Worth,TX
A1220,1/10/2025,C753,Quinoa,3,6.25,Fort Worth,TX
A1221,1/13/2025,C521,Oats,10,3,Houston,TX
A1222,1/19/2025,C1144,Protein Bar,5,2.5,Corpus Christi,TX
A1223,1/23/2025,C1131,Quinoa,8,6.25,Arlington,TX
A1224,2/26/2025,C806,Chana Dal,1,4.4,El Paso,TX
A1225,1/21/2025,C240,Chia Seeds,4,8.5,Frisco,TX
A1226,1/23/2025,C065,Protein Bar,5,2.5,Frisco,TX
A1227,2/11/2025,C886,Broccoli,9,1.8,El Paso,TX
A1228,2/23/2025,C758,Chia Seeds,5,8.5,Fort Worth,TX
A1229,2/2/2025,C1212,Oats,6,3,San Antonio,TX
A1230,3/26/2025,C452,Quinoa,1,6.25,Fort Worth,TX
A1231,2/3/2025,C1056,Cashews,1,7,Austin,TX
A1232,1/20/2025,C1078,Oats,4,3,Corpus Christi,TX
A1233,3/4/2025,C392,Cashews,1,7,San Antonio,TX
A1234,2/18/2025,C772,Chana Dal,8,4.4,Dallas,TX
A1235,3/1/2025,C917,Chana Dal,2,4.4,El Paso,TX
A1236,3/4/2025,C1066,Protein Bar,1,2.5,Austin,TX
A1237,1/24/2025,C835,Cashews,1,7,Dallas,TX
A1238,3/6/2025,C1077,Green Tea,4,4,Plano,TX
A1239,3/27/2025,C716,Broccoli,1,1.8,Arlington,TX
A1240,3/23/2025,C980,Chia Seeds,4,8.5,Houston,TX
A1241,2/24/2025,C030,Cashews,7,7,Fort Worth,TX
A1242,3/19/2025,C918,Soya Chunks,2,2.9,Fort Worth,TX
A1243,3/19/2025,C040,Soya Chunks,8,2.9,Corpus Christi,TX
A1244,1/15/2025,C1331,Broccoli,1,1.8,Dallas,TX
A1245,3/14/2025,C800,Green Tea,4,4,Arlington,TX
A1246,3/26/2025,C845,Protein Bar,10,2.5,Fort Worth,TX
A1247,1/26/2025,C351,Broccoli,8,1.8,Arlington,TX
A1248,3/31/2025,C1328,Chia Seeds,10,8.5,Fort Worth,TX
A1249,2/6/2025,C1069,Oats,4,3,Dallas,TX
A1250,2/8/2025,C703,Oats,4,3,Houston,TX
A1251,1/9/2025,C1053,Almonds,7,5.75,San Antonio,TX
A1252,1/24/2025,C330,Soya Chunks,4,2.9,Corpus Christi,TX
A1253,2/9/2025,C1444,Protein Bar,7,2.5,Houston,TX
A1254,1/2/2025,C610,Almonds,6,5.75,Austin,TX
A1255,3/4/2025,C278,Quinoa,4,6.25,Fort Worth,TX
A1256,2/28/2025,C387,Protein Bar,1,2.5,San Antonio,TX
A1257,3/11/2025,C055,Protein Bar,6,2.5,Fort Worth,TX
A1258,3/11/2025,C239,Green Tea,6,4,Houston,TX
A1259,3/3/2025,C1009,Quinoa,9,6.25,Fort Worth,TX
A1260,2/3/2025,C799,Chia Seeds,6,8.5,Arlington,TX
A1261,3/13/2025,C1499,Quinoa,1,6.25,Dallas,TX
A1262,2/8/2025,C712,Soya Chunks,5,2.9,Dallas,TX
A1263,3/30/2025,C391,Soya Chunks,9,2.9,San Antonio,TX
A1264,2/15/2025,C1057,Soya Chunks,10,2.9,San Antonio,TX
A1265,2/15/2025,C028,Protein Bar,2,2.5,El Paso,TX
A1266,3/17/2025,C541,Broccoli,8,1.8,Fort Worth,TX
A1267,1/16/2025,C765,Chana Dal,6,4.4,Arlington,TX
A1268,2/6/2025,C1299,Chana Dal,3,4.4,Arlington,TX
A1269,1/9/2025,C673,Chia Seeds,6,8.5,Austin,TX
A1270,3/8/2025,C205,Quinoa,2,6.25,Plano,TX
A1271,1/31/2025,C605,Almonds,5,5.75,Corpus Christi,TX
A1272,2/9/2025,C666,Green Tea,5,4,Arlington,TX
A1273,3/4/2025,C1274,Green Tea,2,4,El Paso,TX
A1274,3/23/2025,C1416,Soya Chunks,3,2.9,Arlington,TX
A1275,3/26/2025,C641,Broccoli,4,1.8,Dallas,TX
A1276,2/21/2025,C1186,Green Tea,4,4,San Antonio,TX
A1277,4/1/2025,C528,Chia Seeds,8,8.5,Houston,TX
A1278,1/20/2025,C340,Protein Bar,5,2.5,Corpus Christi,TX
A1279,2/8/2025,C301,Soya Chunks,2,2.9,Dallas,TX
A1280,2/9/2025,C356,Soya Chunks,10,2.9,Austin,TX
A1281,2/27/2025,C1202,Chia Seeds,10,8.5,Frisco,TX
A1282,3/5/2025,C1077,Cashews,8,7,El Paso,TX
A1283,3/4/2025,C1463,Soya Chunks,7,2.9,Fort Worth,TX
A1284,1/24/2025,C1434,Oats,4,3,Fort Worth,TX
A1285,1/25/2025,C1244,Soya Chunks,8,2.9,Fort Worth,TX
A1286,3/3/2025,C1057,Soya Chunks,3,2.9,Corpus Christi,TX
A1287,3/19/2025,C659,Quinoa,6,6.25,El Paso,TX
A1288,2/1/2025,C1304,Cashews,9,7,Frisco,TX
A1289,1/2/2025,C807,Quinoa,1,6.25,Houston,TX
A1290,2/12/2025,C483,Chana Dal,8,4.4,Dallas,TX
A1291,1/1/2025,C537,Quinoa,6,6.25,Houston,TX
A1292,2/9/2025,C101,Oats,9,3,Houston,TX
A1293,2/4/2025,C819,Oats,9,3,Houston,TX
A1294,3/15/2025,C074,Chia Seeds,8,8.5,Corpus Christi,TX
A1295,3/30/2025,C354,Chana Dal,8,4.4,Plano,TX
A1296,2/19/2025,C911,Cashews,10,7,Frisco,TX
A1297,1/26/2025,C1058,Soya Chunks,2,2.9,Fort Worth,TX
A1298,2/14/2025,C494,Broccoli,6,1.8,Plano,TX
A1299,3/1/2025,C817,Protein Bar,8,2.5,Austin,TX
A1300,1/29/2025,C1005,Chana Dal,9,4.4,Plano,TX
A1301,1/24/2025,C1294,Chia Seeds,9,8.5,Corpus Christi,TX
A1302,2/21/2025,C287,Chana Dal,9,4.4,El Paso,TX
A1303,2/24/2025,C1085,Chana Dal,8,4.4,Austin,TX
A1304,1/21/2025,C1155,Cashews,2,7,Arlington,TX
A1305,1/7/2025,C1034,Soya Chunks,8,2.9,San Antonio,TX
A1306,2/17/2025,C750,Chia Seeds,4,8.5,San Antonio,TX
A1307,1/17/2025,C255,Green Tea,10,4,Plano,TX
A1308,1/20/2025,C693,Oats,3,3,Frisco,TX
A1309,2/25/2025,C871,Chana Dal,7,4.4,El Paso,TX
A1310,1/9/2025,C924,Oats,1,3,Houston,TX
A1311,2/20/2025,C018,Cashews,2,7,Houston,TX
A1312,2/2/2025,C169,Chana Dal,10,4.4,Plano,TX
A1313,3/21/2025,C431,Almonds,9,5.75,Frisco,TX
A1314,1/24/2025,C253,Almonds,3,5.75,Plano,TX
A1315,3/9/2025,C322,Chana Dal,4,4.4,Fort Worth,TX
A1316,2/13/2025,C973,Almonds,3,5.75,Fort Worth,TX
A1317,2/11/2025,C374,Oats,6,3,Corpus Christi,TX
A1318,3/28/2025,C1391,Protein Bar,10,2.5,Austin,TX
A1319,3/21/2025,C375,Quinoa,9,6.25,Austin,TX
A1320,2/27/2025,C928,Broccoli,8,1.8,Frisco,TX
A1321,1/18/2025,C349,Green Tea,6,4,Dallas,TX
A1322,3/19/2025,C302,Soya Chunks,3,2.9,Plano,TX
A1323,3/20/2025,C373,Almonds,3,5.75,Fort Worth,TX
A1324,1/24/2025,C1259,Cashews,10,7,Arlington,TX
A1325,1/29/2025,C018,Quinoa,9,6.25,Dallas,TX
A1326,2/4/2025,C940,Almonds,3,5.75,Fort Worth,TX
A1327,2/21/2025,C972,Cashews,7,7,Austin,TX
A1328,3/2/2025,C1003,Broccoli,4,1.8,Austin,TX
A1329,2/6/2025,C052,Chia Seeds,7,8.5,Plano,TX
A1330,1/21/2025,C1150,Cashews,1,7,Frisco,TX
A1331,3/20/2025,C644,Green Tea,4,4,El Paso,TX
A1332,3/9/2025,C1066,Green Tea,2,4,Dallas,TX
A1333,2/21/2025,C701,Chia Seeds,10,8.5,Corpus Christi,TX
A1334,2/7/2025,C584,Green Tea,10,4,Fort Worth,TX
A1335,1/19/2025,C279,Protein Bar,1,2.5,Austin,TX
A1336,1/23/2025,C1059,Green Tea,6,4,Corpus Christi,TX
A1337,2/18/2025,C1291,Oats,2,3,San Antonio,TX
A1338,2/11/2025,C1472,Broccoli,4,1.8,Dallas,TX
A1339,2/9/2025,C220,Chana Dal,5,4.4,Frisco,TX
A1340,3/16/2025,C283,Chana Dal,9,4.4,Frisco,TX
A1341,2/2/2025,C1261,Quinoa,7,6.25,El Paso,TX
A1342,2/27/2025,C146,Almonds,4,5.75,Corpus Christi,TX
A1343,2/3/2025,C351,Chana Dal,1,4.4,Dallas,TX
A1344,1/8/2025,C723,Broccoli,1,1.8,Corpus Christi,TX
A1345,3/28/2025,C1090,Broccoli,9,1.8,El Paso,TX
A1346,3/20/2025,C191,Oats,5,3,Corpus Christi,TX
A1347,3/7/2025,C935,Oats,5,3,Dallas,TX
A1348,3/15/2025,C1313,Almonds,7,5.75,Dallas,TX
A1349,1/9/2025,C907,Green Tea,7,4,Arlington,TX
A1350,3/29/2025,C928,Cashews,6,7,Fort Worth,TX
A1351,3/28/2025,C1488,Chia Seeds,10,8.5,Frisco,TX
A1352,1/16/2025,C852,Oats,4,3,Corpus Christi,TX
A1353,3/12/2025,C1423,Soya Chunks,5,2.9,Fort Worth,TX
A1354,3/23/2025,C630,Chana Dal,2,4.4,Fort Worth,TX
A1355,3/13/2025,C1209,Protein Bar,7,2.5,Dallas,TX
A1356,1/15/2025,C1343,Chana Dal,7,4.4,El Paso,TX
A1357,3/29/2025,C1011,Cashews,3,7,Houston,TX
A1358,1/19/2025,C1241,Green Tea,8,4,Corpus Christi,TX
A1359,1/5/2025,C1395,Chana Dal,4,4.4,Frisco,TX
A1360,2/11/2025,C424,Cashews,7,7,Houston,TX
A1361,1/4/2025,C1161,Chia Seeds,5,8.5,Frisco,TX
A1362,2/2/2025,C1059,Almonds,4,5.75,Dallas,TX
A1363,2/20/2025,C002,Quinoa,6,6.25,Plano,TX
A1364,3/14/2025,C509,Soya Chunks,4,2.9,Houston,TX
A1365,2/12/2025,C1442,Soya Chunks,10,2.9,Plano,TX
A1366,3/2/2025,C058,Green Tea,3,4,Corpus Christi,TX
A1367,1/5/2025,C365,Chia Seeds,1,8.5,Fort Worth,TX
A1368,3/28/2025,C035,Broccoli,9,1.8,Frisco,TX
A1369,3/26/2025,C701,Almonds,3,5.75,Austin,TX
A1370,3/14/2025,C540,Oats,8,3,Arlington,TX
A1371,3/2/2025,C352,Protein Bar,6,2.5,Houston,TX
A1372,1/14/2025,C462,Soya Chunks,4,2.9,El Paso,TX
A1373,1/6/2025,C580,Quinoa,6,6.25,Fort Worth,TX
A1374,1/11/2025,C766,Soya Chunks,6,2.9,Frisco,TX
A1375,3/15/2025,C1017,Protein Bar,7,2.5,Corpus Christi,TX
A1376,2/11/2025,C191,Quinoa,2,6.25,Corpus Christi,TX
A1377,1/26/2025,C849,Cashews,10,7,Frisco,TX
A1378,2/22/2025,C1119,Chana Dal,2,4.4,Dallas,TX
A1379,2/26/2025,C765,Soya Chunks,7,2.9,Frisco,TX
A1380,2/27/2025,C045,Soya Chunks,9,2.9,Arlington,TX
A1381,2/17/2025,C396,Quinoa,10,6.25,Corpus Christi,TX
A1382,2/2/2025,C315,Broccoli,10,1.8,Plano,TX
A1383,1/25/2025,C058,Broccoli,6,1.8,Corpus Christi,TX
A1384,3/17/2025,C1178,Protein Bar,10,2.5,El Paso,TX
A1385,1/28/2025,C1225,Protein Bar,10,2.5,Dallas,TX
A1386,1/1/2025,C802,Cashews,2,7,Austin,TX
A1387,3/9/2025,C051,Soya Chunks,10,2.9,Fort Worth,TX
A1388,2/8/2025,C308,Green Tea,7,4,San Antonio,TX
A1389,3/19/2025,C446,Protein Bar,5,2.5,Houston,TX
A1390,2/16/2025,C1036,Almonds,2,5.75,Houston,TX
A1391,3/7/2025,C1071,Oats,5,3,Frisco,TX
A1392,2/2/2025,C825,Protein Bar,5,2.5,Austin,TX
A1393,1/7/2025,C931,Protein Bar,4,2.5,Frisco,TX
A1394,1/9/2025,C933,Quinoa,3,6.25,Frisco,TX
A1395,2/24/2025,C1372,Cashews,5,7,Austin,TX
A1396,2/13/2025,C892,Chana Dal,4,4.4,Frisco,TX
A1397,1/10/2025,C1303,Green Tea,9,4,Frisco,TX
A1398,1/2/2025,C894,Chia Seeds,5,8.5,Frisco,TX
A1399,1/9/2025,C110,Quinoa,10,6.25,Frisco,TX
A1400,3/6/2025,C347,Oats,7,3,San Antonio,TX
A1401,3/11/2025,C444,Soya Chunks,10,2.9,Corpus Christi,TX
A1402,3/3/2025,C054,Protein Bar,1,2.5,Frisco,TX
A1403,3/9/2025,C1110,Green Tea,10,4,El Paso,TX
A1404,1/14/2025,C1138,Soya Chunks,7,2.9,Plano,TX
A1405,1/11/2025,C759,Green Tea,10,4,Corpus Christi,TX
